w3_urban,w3_hhid,exp_total,hh_size,dw_hh,hh_weight,housing_wgt,food_wgt,intox_wgt,entsprt_wgt,comm_wgt,clothing_wgt,hhitems_wgt,health_wgt,educ_wgt,trans_wgt,ptrans_wgt,misc_wgt,w3_african,w3_coloured,w3_indas,w3_white,ew_hh,pers_inc_d,pers_inc_e,hrslstwk,hrslstwk_e,hrslstwk_d,cluster,wage_e,wage_d,pers_inc_hh,w3_ruralform,w3_tribal,w3_urbaninf,w3_province,w3_gc_dc,w3_h_rntpay,w3_h_ownmn,food,w3_h_nfcigspn,w3_h_nfalcspn,w3_h_nfentspn,w3_h_nfsprspn,w3_h_nfperspn,w3_h_nfjewspn,w3_h_nftrpspn,w3_h_nfcelspn,w3_h_nftelspn,w3_h_nfnetspn,w3_h_nflotspn,w3_h_nfcerspn,w3_h_nfcarspn,w3_h_nfpetrspn,ptrans,w3_h_nfwatspn,w3_h_nfelespn,w3_h_nfenespn,w3_h_nfmunspn,w3_h_nflevspn,w3_h_nfinsfspn,w3_h_nfinseduspn,w3_h_nfinslspn,w3_h_nfinsshspn,w3_h_nfmedaidspn,w3_h_nfkitspn,w3_h_nfdwlspn,w3_h_nfbedspn,w3_h_nfmatspn,w3_h_nfhpspn,w3_h_nffrnspn,w3_h_nfclthspn,w3_h_nfclthaspn,w3_h_nfclthmspn,w3_h_nfdocspn,w3_h_nfhspspn,w3_h_nfmedspn,w3_h_nftradspn,w3_h_nfhomspn,w3_h_nfschfeespn,w3_h_nfschstatspn,w3_h_nfschunispn,w3_h_nfschospn,w3_h_nfwshspn,w3_h_nfchldspn,w3_h_nfrelspn,w3_h_nfdomspn,w3_h_nfpetsspn,w3_h_nfswimspn,w3_h_nftoysspn,w3_h_nfgftsspn,w3_h_nflobspn,w3_h_nfinctaxspn,w3_h_tinc,w3_h_tinc_cat,w3_hhgeo,w3_h_fdtot_cat,w3_h_refrem,w3_h_sub,deathill_neg,stock_neg,income_neg,other_neg,dest_neg,pers_inc_d_avg,pers_inc_e_avg,hrslstwk_dom_avg,dw_count,ew_count,housing,intox,entsprt,comm,clothing,hhitems,health,educ,trans,misc,sole_provider_d,pop_g1,pop_g2,pop_g3,pop_g4,pop_g5,dom_employ_hh,fweight,dw_emp,joburg_ct_u,pret_ct_u,pret_jo_u,foodflag,exp_k,food_inf,intox_inf,clothing_inf,housing_inf,hhitems_inf,health_inf,trans_inf,ptrans_inf,comm_inf,entsprt_inf,educ_inf,misc_inf,food_infwgt,intox_infwgt,clothing_infwgt,housing_infwgt,hhitems_infwgt,health_infwgt,trans_infwgt,ptrans_infwgt,comm_infwgt,entsprt_infwgt,educ_infwgt,misc_infwgt,hh_inflation,minwage_change,inf_diff,inf_diff_cat
1,300001,12715,5,1,320.8322144,0.0755014,0.1572945,0.0157295,0,0.0141565,0.0550531,0.5269367,0.0078647,0,0.0943767,0,0.0530869,0,5,0,0,1,1500,1500,40,40,40,3001,8.660508,8.660508,1500,0,0,0,3. Northern Cape,6. Namakwa District Municipality,,,2000,200,,,,150,,,100,80,,,,,1200,,200,600,50,110,,55,,,170,,,,,,,6400,700,,,,,100,,,,,,,200,130,120,,,,150,,,,4500,,3. Urban Formal,,1,0,0,0,1,0,0,1500,1500,,320.8322,320.8322,960,200,0,180,700,6700,100,0,1200,675,1,0,1,0,0,0,1,320,DW Household,,,,0,12.715,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0138419,0.0008179,0.0029729,0.0043036,0.0194967,0.0003618,0.0089658,0,-0.0000708,0,0,0.0036099,0.0542996,0.076,0.0217003,>=1%
0,300012,2280,9,1,330.7356567,0.1973684,0.5263158,0,0,0.0438596,0,0.131579,0,0,0,0,0.1008772,9,0,0,0,1,600,600,80,40,40,5039,3.464203,3.464203,1800,1,0,0,5. KwaZulu-Natal,25. Amajuba District Municipality,,,1200,,,,,300,,,100,,,,,,,,,,450,,,80,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,3560,,1. Rural Formal,,0,0,1,0,0,0,0,600,600,,330.7357,330.7357,450,0,0,100,0,300,0,0,0,230,0,1,0,0,0,0,1,330,DW Household,,,,1,2.28,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0463158,0,0,0.01125,0.0048684,0,0,0,-0.0002193,0,0,0.0068596,0.0690746,0.076,0.0069254,>=0.5% & <1%
0,300013,1930,3,1,1534.984253,0.0777202,0.5181347,0,0,0.015544,0,0.0259067,0,0.2590674,0,0,0.1036269,3,0,0,0,1,1500,1500,48,48,48,2041,7.21709,7.21709,1500,0,1,0,2. Eastern Cape,44. Alfred Nzo District Municipality,,,1000,,,,,50,,,30,,,,,,,,,50,100,,,,,,,,,,,,,,,,,,,,,,,,500,,100,,100,,,,,,,,3000,,2. Tribal Authority Areas,,0,0,0,0,0,0,0,1500,1500,,1534.984,1534.984,150,0,0,30,0,50,0,500,0,200,1,1,0,0,0,0,1,1534,DW Household,,,,1,1.93,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0455959,0,0,0.0044301,0.0009585,0,0,0,-0.0000777,0,0.0225389,0.0070466,0.0804922,0.076,-0.0044922,< 0%
0,300016,1051,7,1,3411.623779,0.0190295,0.7611798,0.0475737,0,0.0285442,0,0.0570885,0,0,0,0,0.0865842,7,0,0,0,1,520,520,32,32,32,2035,3.752887,3.752887,520,0,1,0,2. Eastern Cape,15. O.R.Tambo District Municipality,,,800,,50,,,60,,,30,,,,,,,,,20,,,,65,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,1560,,2. Tribal Authority Areas,,0,0,1,0,0,0,0,520,520,,3411.624,3411.624,20,50,0,30,0,60,0,0,0,91,1,1,0,0,0,0,1,3411,DW Household,,,,1,1.051,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0669838,0.0024738,0,0.0010847,0.0021123,0,0,0,-0.0001427,0,0,0.0058877,0.0783996,0.076,-0.0023996,< 0%
0,300019,2060,5,0,1034.170532,0.1504854,0.3883495,0,0.0485437,0.0485437,0,0.2184466,0,0,0,0,0.1456311,5,0,0,0,1,0,500,14,14,0,9035,8.248103,,500,0,1,0,9. Limpopo,84. Bohlabela District Municipality,,,800,,,,,150,,100,100,,,,,,,,100,200,10,,,100,,,,,,,300,,,,,,,,,,,,,,,,200,,,,,,,,,,2000,,2. Tribal Authority Areas,,0,0,1,0,0,0,0,,500,,0,1034.171,310,0,100,100,0,450,0,0,0,300,,1,0,0,0,0,1,1034,DW Employer,,,,0,2.06,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0341748,0,0,0.0085777,0.0080825,0,0,0,-0.0002427,0.0013107,0,0.0099029,0.0618058,0.076,0.0141942,>=1%
1,300022,1180,4,0,418.5740051,0.279661,0.4237288,0,0,0,0,0,0,0,0,0,0.2966102,4,0,0,0,1,0,4000,40,40,0,3017,23.09469,,4000,0,0,0,3. Northern Cape,8. Siyanda District Municipality,130,,500,,,,,,,,,,,,,,,,,200,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,3. Urban Formal,,1,0,0,0,0,0,0,,4000,,0,418.574,330,0,0,0,0,0,0,0,0,350,,1,0,0,0,0,1,418,DW Employer,,,,0,1.18,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0372881,0,0,0.0159407,0,0,0,0,0,0,0,0.0201695,0.0733983,0.076,0.0026017,>=0% & <0.5%
1,300023,15692,6,1,1521.4823,0.158807,0.1274535,0.0254907,0.0159317,0.0159317,0,0.0509814,0,0.1593169,0.2612796,0.0318634,0.1529442,6,0,0,0,1,2200,2200,48,48,48,8009,10.58507,10.58507,2200,0,0,0,8. Mpumalanga,30. Govan Mbeki Municipality,592,1500,2000,100,300,250,,500,,,250,,,,,3500,600,500,,400,,,,250,,,1200,650,,,,,,300,,,,,,,,,2000,,,500,300,,,,,,,,,,12000,,3. Urban Formal,,1,0,1,0,0,0,0,2200,2200,,1521.482,1521.482,2492,400,250,250,0,800,0,2500,4100,2400,1,1,0,0,0,0,1,1521,DW Household,,,,0,15.692,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0112159,0.0013255,0,0.009052,0.0018863,0,0.0248216,0.0020711,-0.0000797,0.0004302,0.0138606,0.0104002,0.0749837,0.076,0.0010163,>=0% & <0.5%
0,300028,880,3,1,1409.044434,0.125,0.3409091,0,0,0.0227273,0,0.1704545,0,0.2840909,0,0,0.0568182,3,0,0,0,1,1200,1200,33,33,33,5037,8.398068,8.398068,1200,0,1,0,5. KwaZulu-Natal,25. Amajuba District Municipality,,,300,,,,,150,,,20,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,250,,50,,,,,,,,,,1480,,2. Tribal Authority Areas,,0,0,0,0,0,0,0,1200,1200,,1409.044,1409.044,110,0,0,20,0,150,0,250,0,50,1,1,0,0,0,0,1,1409,DW Household,,,,0,0.88,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.03,0,0,0.007125,0.0063068,0,0,0,-0.0001136,0,0.0247159,0.0038636,0.0718977,0.076,0.0041023,>=0% & <0.5%
0,300029,3120,7,1,881.8018799,0.0320513,0.5448718,0,0,0.0689103,0.3205128,0,0,0,0,0.0192308,0.0144231,7,0,0,0,1,4262,4262,37,37,37,8003,26.60258,26.60258,4262,0,1,0,8. Mpumalanga,30. Govan Mbeki Municipality,,,1700,,,,,,,,215,,,,,,,60,,100,,,,,,,,,,,,,,,1000,,,,,,,,,,,,45,,,,,,,,,,840,,2. Tribal Authority Areas,,0,0,1,0,1,0,0,4262,4262,,881.8019,881.8019,100,0,0,215,1000,0,0,0,0,45,1,1,0,0,0,0,1,881,DW Household,,,,1,3.12,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0479487,0,0.0173077,0.0018269,0,0,0,0.00125,-0.0003446,0,0,0.0009808,0.0689695,0.076,0.0070304,>=0.5% & <1%
1,300032,3501,4,1,112.1181793,0.0488432,0.4570123,0.0428449,0,0.0114253,0,0.3141959,0,0.0142816,0,0.0199943,0.0914025,0,4,0,0,1,1466,1466,40,40,40,1037,8.464203,8.464203,1466,0,0,0,1. Western Cape,5. Central Karoo District Municipality,,,1600,150,,,,80,,,40,,,,,,,70,71,100,,,,170,,,,,,,550,,470,,,,,,,,,,,,50,,70,50,30,,,,,,,,2950,,3. Urban Formal,,1,1,0,0,0,0,0,1466,1466,,112.1182,112.1182,171,150,0,40,0,1100,0,50,0,320,1,0,1,0,0,0,1,112,DW Household,,,,0,3.501,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0402171,0.0022279,0,0.0027841,0.0116252,0,0,0.0012996,-0.0000571,0,0.0012425,0.0062154,0.0655547,0.076,0.0104453,>=1%
